date,lives_count,total_likes,avg_likes,total_duration_min
2025-06-15,2,34700,17350.0,142.0
2025-06-16,1,27000,27000.0,154.0
2025-06-17,2,63500,31750.0,245.0
2025-06-18,1,20400,20400.0,104.0
2025-06-19,1,52100,52100.0,131.0
2025-06-20,1,5682,5682.0,41.0
2025-06-21,1,25700,25700.0,125.0
2025-06-22,1,18300,18300.0,114.0
2025-06-23,1,54100,54100.0,113.0
2025-06-24,1,29900,29900.0,119.0
2025-06-25,1,34100,34100.0,98.0
2025-06-26,1,24100,24100.0,88.0
2025-06-28,1,24800,24800.0,162.0
2025-06-29,1,2513,2513.0,23.0
2025-07-01,3,18286,6095.333333333333,104.0
2025-07-02,1,39800,39800.0,105.0
2025-07-03,1,35100,35100.0,164.0
2025-07-04,2,43831,21915.5,170.0
2025-07-05,2,5266,2633.0,95.0
2025-07-06,1,50900,50900.0,126.0
2025-07-07,2,47903,23951.5,148.0
2025-07-08,3,48754,16251.333333333334,228.0
2025-07-09,1,32000,32000.0,125.0
2025-07-10,1,28500,28500.0,137.0
2025-07-11,1,37000,37000.0,137.0
2025-07-12,1,13000,13000.0,59.0
2025-07-14,1,58700,58700.0,136.0
2025-07-16,1,34900,34900.0,105.0
2025-07-17,1,9462,9462.0,82.0
2025-07-18,2,66400,33200.0,261.0
2025-07-20,2,48092,24046.0,155.0
2025-07-21,1,50900,50900.0,103.0
2025-07-22,2,75600,37800.0,239.0
2025-07-23,1,72700,72700.0,166.0
2025-07-24,1,8967,8967.0,119.0
2025-07-26,1,61300,61300.0,164.0
2025-07-27,1,66100,66100.0,140.0
2025-07-28,2,91800,45900.0,279.0
2025-07-29,2,57420,28710.0,231.0
2025-07-30,1,54700,54700.0,132.0
2025-07-31,1,0,0.0,0.0
2025-08-01,2,71500,35750.0,231.0
2025-08-02,2,27900,13950.0,126.0
2025-08-03,3,51887,17295.666666666668,172.0
2025-08-04,1,36800,36800.0,123.0
2025-08-05,2,58332,29166.0,206.0
2025-08-06,2,54300,27150.0,232.0
2025-08-07,1,25100,25100.0,95.0
2025-08-08,1,26100,26100.0,78.0
2025-08-10,1,48300,48300.0,143.0
2025-08-11,1,79600,79600.0,183.0
2025-08-12,1,37400,37400.0,145.0
2025-08-15,1,41300,41300.0,123.0
2025-08-16,2,14639,7319.5,80.0
2025-08-17,2,70800,35400.0,142.0
2025-08-19,1,72300,72300.0,176.0
2025-08-20,1,35200,35200.0,134.0
2025-08-21,1,2849,2849.0,58.0
2025-08-29,1,29600,29600.0,124.0
2025-08-30,1,40100,40100.0,122.0
2025-09-01,2,46772,23386.0,121.0
2025-09-02,1,58300,58300.0,129.0
2025-09-03,2,46300,23150.0,110.0
2025-09-04,1,58800,58800.0,158.0
